upper_zone,middle_zone,lower_zone,median_width,most_occurring_angle,average_angle,stdev_angle
0.3305084745762712,0.2796610169491525,0.3898305084745763,22.5,49.5,48.9,3.9
0.3793103448275862,0.3017241379310345,0.31896551724137934,16.5,49.5,45.7,7.1
0.3018867924528302,0.3584905660377358,0.33962264150943394,16,40.5,44.6,8.2
0.40336134453781514,0.2857142857142857,0.31092436974789917,18.0,49.5,47.2,5.3
0.30973451327433627,0.3274336283185841,0.36283185840707965,21.5,49.5,49.5,4.3
0.13186813186813187,0.4175824175824176,0.45054945054945056,21.5,49.5,53.5,4.3
0.3779527559055118,0.2992125984251969,0.3228346456692913,16.5,49.5,51.8,3.3
0.10843373493975904,0.43373493975903615,0.4578313253012048,18,54.0,52.3,3.6
0.31851851851851853,0.31851851851851853,0.362962962962963,24,54.0,59.6,6.8
0.24299065420560748,0.3925233644859813,0.3644859813084112,25.0,40.5,52.9,11.8
0.3900709219858156,0.3049645390070922,0.3049645390070922,25.0,49.5,60.3,17.1
0.38016528925619836,0.3140495867768595,0.30578512396694213,18,18.0,43.7,22.2
0.248,0.36,0.392,21.5,49.5,53.5,6.5
0.19491525423728814,0.3728813559322034,0.4322033898305085,19.0,49.5,45.4,11.7
0.34782608695652173,0.35507246376811596,0.2971014492753623,21.5,63.0,52.2,11.3
0.24817518248175183,0.35766423357664234,0.39416058394160586,21.5,63.0,60.0,3.7
0.27358490566037735,0.32075471698113206,0.4056603773584906,18.5,18.0,43.9,19.1
0.3037974683544304,0.2721518987341772,0.4240506329113924,23.5,175.5,0,0
0.21621621621621623,0.3063063063063063,0.4774774774774775,12.5,72.0,59.6,9.5
0.40476190476190477,0.32142857142857145,0.27380952380952384,16.5,63.0,56.4,10.0
0.36666666666666664,0.3,0.3333333333333333,14.5,58.5,55.8,6.0
0.2714285714285714,0.37142857142857144,0.35714285714285715,18.0,58.5,54.7,15.0
0.4766355140186916,0.2616822429906542,0.2616822429906542,15.0,58.5,55.7,5.3
0.425,0.3375,0.2375,13,58.5,50.5,12.3
0.345679012345679,0.3333333333333333,0.32098765432098764,15,63.0,59.1,5.7
0.46153846153846156,0.2857142857142857,0.25274725274725274,16.0,58.5,53.4,12.6
0.4574468085106383,0.2978723404255319,0.24468085106382978,16,63.0,60.7,2.4
0.4731182795698925,0.3010752688172043,0.22580645161290322,14,63.0,55.9,11.1
